dataset,method,param,nfr_mean,nfr_std,acc_mean,acc_std
diabetes,bcwi,0.025,0.019524534975621073,0.020946705209339025,0.6388489208633094,0.12810335181916324
diabetes,bcwi,0.03,0.023526135615877176,0.02534747123192623,0.6388489208633092,0.12881961880405332
eeg-eye-state,baseline,,0.0791263382058935,0.057257200508299175,0.7575611564121572,0.1660072269366499
eeg-eye-state,confidence_drop,0.0,0.07584909036359871,0.05405961969303876,0.7588213491475166,0.16307572087442274
eeg-eye-state,confidence_drop,0.5,0.0812555632415942,0.06325746801736341,0.7589696071163825,0.16123248666066586
eeg-eye-state,confidence_drop,1.0,0.0872022012349029,0.07165951834167068,0.7570793180133432,0.16201514720524504
eeg-eye-state,confidence_drop,2.0,0.09835194152182017,0.08207279411424742,0.7487398072646405,0.16518380513607944
eeg-eye-state,confidence_drop,4.0,0.1002661500735135,0.08509759680820156,0.7454040029651593,0.16453262127448892
eeg-eye-state,confidence_drop,8.0,0.10197433301363482,0.08658793338582618,0.7418458117123795,0.16311785497062845
eeg-eye-state,fixed_anchor,0.0,0.07809223327081254,0.05833517668243547,0.7600444773906598,0.1657076399071012
eeg-eye-state,fixed_anchor,0.5,0.04909818372746581,0.03352015658779822,0.7598962194217938,0.16433344233462024
eeg-eye-state,fixed_anchor,1.0,0.0401264181523654,0.02568031895149763,0.7584877687175686,0.1650023793407593
eeg-eye-state,fixed_anchor,2.0,0.03128928708999889,0.019312272778605314,0.7557449962935507,0.16607613294455734
eeg-eye-state,fixed_anchor,4.0,0.024507428925583365,0.013757546982506126,0.7531134173461824,0.16681972210599
eeg-eye-state,fixed_anchor,8.0,0.018174927653387355,0.00966183884027934,0.7490733876945885,0.16747719307140332
eeg-eye-state,selective_distill,0.0,0.07784243196589341,0.057774887384978324,0.7582653817642699,0.16619041223421915
eeg-eye-state,selective_distill,0.5,0.07182265805370847,0.05404476712669209,0.7596367679762788,0.16550062457377862
eeg-eye-state,selective_distill,1.0,0.06776903545063903,0.05097357412501386,0.7603409933283914,0.1645000315319508
eeg-eye-state,selective_distill,2.0,0.05917857231533894,0.04357095872986882,0.7600444773906597,0.16255907688920626
eeg-eye-state,selective_distill,4.0,0.05094901120997335,0.037638876548715686,0.7582283172720533,0.16090658064682106
eeg-eye-state,selective_distill,8.0,0.03712839244245885,0.022340523116193053,0.7540029651593774,0.15626492777360323
eeg-eye-state,projected_gd,0.0,0.001397484953870079,0.0015049113704480703,0.7234247590808007,0.14874167448562478
eeg-eye-state,projected_gd,0.005,0.003907507434160894,0.00224343924029502,0.7248702742772425,0.14988431851195738
eeg-eye-state,projected_gd,0.01,0.007614247345312129,0.0032341123367097737,0.7306152705707932,0.154139454546774
eeg-eye-state,projected_gd,0.015,0.013889137618328171,0.0049012321628959365,0.7402149740548555,0.16433666078363365
eeg-eye-state,projected_gd,0.02,0.01961734787862774,0.008799921359301074,0.749110452186805,0.17013337189881203
eeg-eye-state,projected_gd,0.025,0.02204070016845113,0.008421154174859117,0.7565604151223129,0.17748218992155723
eeg-eye-state,projected_gd,0.03,0.02580282250706717,0.008787965471224493,0.7626019273535952,0.18286011389539805
eeg-eye-state,bcwi,0.0,0.0010659267383832881,0.0014455352270756722,0.7232394366197183,0.1486092586802478
eeg-eye-state,bcwi,0.005,0.008548854764289316,0.01183279484214201,0.7255003706449223,0.14622297891886185
eeg-eye-state,bcwi,0.01,0.009585475024811387,0.011995959274790262,0.7257598220904374,0.14592968877363818
eeg-eye-state,bcwi,0.015,0.013308948799531936,0.012387366692495988,0.7309488510007414,0.1514411438736947
eeg-eye-state,bcwi,0.02,0.01844239131071091,0.013271302378675125,0.7419199406968124,0.1619367275885116
eeg-eye-state,bcwi,0.025,0.020948869975248273,0.01699794223098508,0.7428836174944403,0.1609560918505969
eeg-eye-state,bcwi,0.03,0.028486662331414607,0.012577516255442305,0.7530392883617495,0.16956059309212568
electricity,baseline,,0.037974037432294036,0.006970522139957187,0.783427310615347,0.027998863694205456
electricity,confidence_drop,0.0,0.03649293464919315,0.005773548328650119,0.7846285854376072,0.029065630196367105
electricity,confidence_drop,0.5,0.02846085789686984,0.007726305521885823,0.7821892620740378,0.029352358110087035
electricity,confidence_drop,1.0,0.024251995750834768,0.010908065997777586,0.7783157636675657,0.02969806520812999
electricity,confidence_drop,2.0,0.024615339818194526,0.010593898242715765,0.7752758028928659,0.030384009513553537
electricity,confidence_drop,4.0,0.025157133691308037,0.010608536124327647,0.7729590585927923,0.030195491765972842
electricity,confidence_drop,8.0,0.026851880362927648,0.01135540358263251,0.7715126256435401,0.029750510830385882
electricity,fixed_anchor,0.0,0.03757463544804814,0.006905915522541694,0.7837337582740869,0.028639000871124295
