dataset,split,method,model_type,lambda,target_nfr,achieved_nfr,accuracy,pfr
adult,2,selective_distill,logreg,2.0,,0.008919961427193828,0.8509571092230526,0.06177868295994569
adult,2,confidence_drop,logreg,4.0,,0.010366441658630666,0.8467601596888116,0.042090970807875085
adult,2,fixed_anchor,logreg,4.0,,0.0032545805207328834,0.8499334629951889,0.02308214528173795
adult,2,selective_distill,logreg,4.0,,0.006509161041465767,0.8510594738458389,0.048879837067209775
adult,2,confidence_drop,logreg,8.0,,0.012415621986499517,0.8457365134609479,0.04684317718940937
adult,2,fixed_anchor,logreg,8.0,,0.0024108003857280617,0.8500358276179752,0.019008825526137134
adult,2,selective_distill,logreg,8.0,,0.004580520732883318,0.8498310983724024,0.02987101154107264
adult,2,projected_gd,logreg,,0.0,0.0008437801350048216,0.8489098167673252,0.0027155465037338763
adult,2,bcwi,logreg,,0.0,0.00156702025072324,0.8498310983724024,0.012898845892735914
adult,2,projected_gd,logreg,,0.005,0.004459980713596914,0.8501381922407616,0.031228784792939578
adult,2,bcwi,logreg,,0.005,0.003977820636451302,0.8498310983724024,0.026476578411405296
adult,2,projected_gd,logreg,,0.01,0.008437801350048216,0.8516736615825571,0.06381534283774609
adult,2,bcwi,logreg,,0.01,0.0078351012536162,0.8504452861091207,0.05227427019687712
adult,2,projected_gd,logreg,,0.015,0.013379942140790742,0.8510594738458389,0.08757637474541752
adult,2,bcwi,logreg,,0.015,0.0078351012536162,0.8504452861091207,0.05227427019687712
adult,2,projected_gd,logreg,,0.02,0.014344262295081968,0.8504452861091207,0.08893414799728445
adult,2,bcwi,logreg,,0.02,0.0078351012536162,0.8504452861091207,0.05227427019687712
adult,2,projected_gd,logreg,,0.025,0.014344262295081968,0.8504452861091207,0.08893414799728445
adult,2,bcwi,logreg,,0.025,0.0078351012536162,0.8504452861091207,0.05227427019687712
adult,2,projected_gd,logreg,,0.03,0.014344262295081968,0.8504452861091207,0.08893414799728445
adult,2,bcwi,logreg,,0.03,0.0078351012536162,0.8504452861091207,0.05227427019687712
adult,3,baseline,logreg,,,0.012661280598094779,0.8537209540382844,0.10298102981029811
adult,3,confidence_drop,logreg,0.0,,0.011334860725913422,0.8548469648889344,0.10298102981029811
adult,3,fixed_anchor,logreg,0.0,,0.01145544435065718,0.8547446002661481,0.10298102981029811
adult,3,selective_distill,logreg,0.0,,0.012058362474375979,0.8546422356433616,0.10569105691056911
adult,3,confidence_drop,logreg,0.5,,0.009284939105269504,0.8541304125294298,0.08672086720867209
adult,3,fixed_anchor,logreg,0.5,,0.004943928614494152,0.8558706111167981,0.07384823848238482
adult,3,selective_distill,logreg,0.5,,0.010731942602194622,0.8547446002661481,0.0989159891598916
